Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
ZRF23,10/27/2022,16.395,16.455,16.28,16.345,-0.025,-0.15%,1630,0
ZRF23,10/26/2022,16.545,16.55,16.335,16.37,-0.16,-0.97%,1921,8221
ZRF23,10/25/2022,16.56,16.625,16.53,16.53,-0.045,-0.27%,1459,8262
ZRF23,10/24/2022,16.68,16.775,16.56,16.575,-0.105,-0.63%,2512,8256
ZRF23,10/21/2022,16.815,16.87,16.575,16.68,-0.13,-0.77%,2003,8110
ZRF23,10/20/2022,16.855,16.9,16.8,16.81,-0.025,-0.15%,2316,7949
ZRF23,10/19/2022,16.89,16.9,16.825,16.835,0.295,+1.78%,835,8289
ZRX22,10/18/2022,16.655,16.67,16.5,16.54,-0.13,-0.78%,1990,8253
ZRX22,10/17/2022,16.73,16.765,16.655,16.67,-0.065,-0.39%,1001,8172
ZRX22,10/14/2022,16.76,16.805,16.72,16.735,-0.025,-0.15%,1154,8020
ZRX22,10/13/2022,16.81,16.83,16.72,16.76,-0.05,-0.30%,705,7944
ZRX22,10/12/2022,16.73,16.88,16.695,16.81,0.09,+0.54%,1267,7953
ZRX22,10/11/2022,16.73,16.76,16.685,16.72,0.005,+0.03%,1962,7897
ZRX22,10/10/2022,16.825,16.915,16.705,16.715,-0.11,-0.65%,1550,7916
ZRX22,10/07/2022,16.915,16.915,16.81,16.825,-0.065,-0.38%,741,8051
ZRX22,10/06/2022,16.985,16.995,16.87,16.89,-0.08,-0.47%,828,8187
ZRX22,10/05/2022,16.96,17.045,16.905,16.97,0.005,+0.03%,738,8229
ZRX22,10/04/2022,16.93,17.025,16.91,16.965,0.03,+0.18%,943,8348
ZRX22,10/03/2022,17.155,17.25,16.92,16.935,-0.235,-1.37%,1328,8432
ZRX22,09/30/2022,17.325,17.42,17.16,17.17,-0.18,-1.04%,728,8608
ZRX22,09/29/2022,17.395,17.47,17.315,17.35,-0.01,-0.06%,561,8647
ZRX22,09/28/2022,17.305,17.38,17.27,17.36,0.045,+0.26%,313,8660
ZRX22,09/27/2022,17.35,17.55,17.265,17.315,-0.035,-0.20%,346,8709
ZRX22,09/26/2022,17.375,17.39,17.19,17.35,-0.03,-0.17%,673,8741
ZRX22,09/23/2022,17.395,17.42,17.36,17.38,-0.005,-0.03%,487,8771
ZRX22,09/22/2022,17.605,17.62,17.325,17.385,-0.24,-1.36%,512,9007
ZRX22,09/21/2022,17.72,17.78,17.54,17.625,-0.1,-0.56%,301,9040
ZRX22,09/20/2022,17.615,17.795,17.615,17.725,0.09,+0.51%,238,9019
ZRX22,09/19/2022,17.79,17.815,17.575,17.635,-0.19,-1.07%,301,8989
ZRX22,09/16/2022,17.79,17.875,17.65,17.825,0.005,+0.03%,404,8985
ZRX22,09/15/2022,17.715,17.945,17.63,17.82,0.02,+0.11%,432,8904
ZRX22,09/14/2022,17.785,17.89,17.67,17.8,0.015,+0.08%,487,8807
ZRX22,09/13/2022,17.695,17.835,17.605,17.785,0.085,+0.48%,487,8775
ZRX22,09/12/2022,17.585,17.76,17.39,17.7,0.115,+0.65%,570,8686
ZRX22,09/09/2022,17.195,17.67,17.195,17.585,0.345,+2.00%,359,8623
ZRX22,09/08/2022,17.085,17.27,17,17.24,0.185,+1.08%,437,8742
ZRX22,09/07/2022,17.23,17.23,16.97,17.055,-0.075,-0.44%,1078,8891
ZRX22,09/06/2022,17.6,17.815,17.08,17.13,-0.535,-3.03%,697,9143
ZRX22,09/02/2022,17.635,17.94,17.635,17.665,-0.01,-0.06%,415,9104
ZRX22,09/01/2022,17.87,17.95,17.585,17.675,-0.165,-0.92%,890,9151
ZRX22,08/31/2022,17.715,17.955,17.715,17.84,0.05,+0.28%,704,9043
ZRX22,08/30/2022,17.65,17.85,17.54,17.79,0.145,+0.82%,1430,9047
ZRX22,08/29/2022,17.6,17.675,16.85,17.645,-0.02,-0.11%,1846,8926
ZRX22,08/26/2022,17.435,17.68,17.435,17.665,0.135,+0.77%,1172,9051
ZRX22,08/25/2022,17.565,17.68,17.435,17.53,-0.075,-0.43%,1700,9068
ZRX22,08/24/2022,17.585,17.82,17.55,17.605,-0.01,-0.06%,2563,8885
ZRX22,08/23/2022,17.485,17.64,17.44,17.615,0.195,+1.12%,2571,8377
ZRX22,08/22/2022,17.41,17.52,17.305,17.42,0.045,+0.26%,1560,8346
ZRX22,08/19/2022,16.87,17.435,16.87,17.375,0.82,+4.95%,1645,8284
ZRU22,08/18/2022,16.66,16.69,16.495,16.555,-0.11,-0.66%,3502,8473
ZRU22,08/17/2022,16.885,16.885,16.66,16.665,-0.235,-1.39%,1598,8789
ZRU22,08/16/2022,17.03,17.11,16.885,16.9,-0.175,-1.02%,472,8826
ZRU22,08/15/2022,17.175,17.18,16.95,17.075,-0.08,-0.47%,511,8835
ZRU22,08/12/2022,17.06,17.19,16.96,17.155,0.075,+0.44%,370,8843
ZRU22,08/11/2022,16.985,17.195,16.985,17.08,0.135,+0.80%,466,8852
ZRU22,08/10/2022,16.975,17.055,16.85,16.945,-0.055,-0.32%,452,8863
ZRU22,08/09/2022,17.13,17.245,16.975,17,-0.195,-1.13%,282,8893
ZRU22,08/08/2022,17.21,17.29,17.02,17.195,-0.145,-0.84%,784,8894
ZRU22,08/05/2022,17.255,17.455,17.21,17.34,0.015,+0.09%,779,8894
ZRU22,08/04/2022,17.045,17.35,16.985,17.325,0.265,+1.55%,830,8569
ZRU22,08/03/2022,16.81,17.08,16.68,17.06,0.285,+1.70%,516,8360
ZRU22,08/02/2022,16.665,16.86,16.65,16.775,0.115,+0.69%,523,8345
ZRU22,08/01/2022,16.875,16.915,16.63,16.66,-0.225,-1.33%,927,8287
ZRU22,07/29/2022,17.01,17.12,16.885,16.885,-0.135,-0.79%,1020,8207
ZRU22,07/28/2022,17.005,17.07,16.94,17.02,-0.065,-0.38%,566,8297
ZRU22,07/27/2022,17.03,17.16,17.03,17.085,-0.01,-0.06%,263,8358
ZRU22,07/26/2022,16.905,17.19,16.885,17.095,0.165,+0.97%,449,8310
ZRU22,07/25/2022,16.76,16.97,16.76,16.93,0.065,+0.39%,353,8161
ZRU22,07/22/2022,16.95,17.01,16.795,16.865,-0.12,-0.71%,344,8123
ZRU22,07/21/2022,16.84,17.03,16.81,16.985,0.04,+0.24%,405,8227
ZRU22,07/20/2022,17.12,17.225,16.76,16.945,-0.215,-1.25%,684,8186
ZRU22,07/19/2022,16.97,17.29,16.955,17.16,0.09,+0.53%,1102,8072
ZRU22,07/18/2022,16.625,17.305,16.56,17.07,0.545,+3.30%,1163,7911
ZRU22,07/15/2022,16.395,16.6,16.36,16.525,0.125,+0.76%,376,8031
ZRU22,07/14/2022,16.41,16.465,16.325,16.4,-0.025,-0.15%,227,7956
ZRU22,07/13/2022,16.44,16.515,16.325,16.425,-0.025,-0.15%,120,7998
ZRU22,07/12/2022,16.455,16.625,16.305,16.45,-0.085,-0.51%,356,7990
ZRU22,07/11/2022,16.47,16.6,16.395,16.535,0.08,+0.49%,329,8004
ZRU22,07/08/2022,16.355,16.5,16.28,16.455,0.07,+0.43%,316,8027
ZRU22,07/07/2022,16.08,16.4,16.08,16.385,0.205,+1.27%,471,8114
ZRU22,07/06/2022,16.11,16.225,16.05,16.18,0.07,+0.43%,608,8232
ZRU22,07/05/2022,16.4,16.475,16.1,16.11,-0.31,-1.89%,1019,8275
ZRU22,07/01/2022,16.7,16.81,16.38,16.42,-0.325,-1.94%,484,8376
ZRU22,06/30/2022,16.75,16.82,16.63,16.745,-0.055,-0.33%,410,8338
ZRU22,06/29/2022,16.65,16.92,16.575,16.8,0.22,+1.33%,901,8748
ZRU22,06/28/2022,16.4,16.695,16.38,16.58,0.135,+0.82%,815,8790
ZRU22,06/27/2022,16.51,16.605,16.41,16.445,0.035,+0.21%,1095,8902
ZRU22,06/24/2022,16.415,16.525,16.37,16.41,-0.065,-0.39%,672,8792
ZRU22,06/23/2022,16.655,16.66,16.36,16.475,-0.21,-1.26%,1121,9007
ZRU22,06/22/2022,16.5,16.7,16.38,16.685,0.18,+1.09%,1595,9202
ZRU22,06/21/2022,16.605,16.645,16.485,16.505,-0.095,-0.57%,1050,9245
