Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
LEZ22,10/27/2022,153.575,153.85,152.9,153.425,-0.15,-0.10%,39472,0
LEZ22,10/26/2022,153.3,153.675,152.825,153.575,0.275,+0.18%,46322,284708
LEZ22,10/25/2022,153.925,154.25,153.15,153.3,-0.825,-0.54%,59625,282242
LEZ22,10/24/2022,152.475,154.2,152.275,154.125,1.7,+1.12%,63413,276237
LEZ22,10/21/2022,151.5,152.5,151.075,152.425,0.75,+0.49%,59717,266390
LEZ22,10/20/2022,151.225,151.75,151.125,151.675,0.325,+0.21%,61507,262333
LEZ22,10/19/2022,149.825,151.4,149.725,151.35,1.575,+1.05%,58721,262346
LEZ22,10/18/2022,149.05,149.9,149,149.775,0.575,+0.39%,41522,262262
LEZ22,10/17/2022,148.15,149.4,148.05,149.2,1.425,+0.96%,44954,263047
LEZ22,10/14/2022,148.4,148.4,146.9,147.775,-0.15,-0.10%,45098,264310
LEZ22,10/13/2022,148.1,148.7,147.55,147.925,-0.525,-0.35%,41891,263395
LEZ22,10/12/2022,148.6,149.075,147.95,148.45,-0.125,-0.08%,44060,262164
LEZ22,10/11/2022,147.5,148.875,147.1,148.575,1.575,+1.07%,52398,262774
LEZ22,10/10/2022,148.175,148.5,146.725,147,-1.05,-0.71%,47982,263591
LEZ22,10/07/2022,147.925,148.575,147.525,148.05,0.175,+0.12%,41852,265101
LEZ22,10/06/2022,148.25,148.275,147.375,147.875,-0.05,-0.03%,42087,270103
LEZ22,10/05/2022,147.325,148.425,146.9,147.925,0.425,+0.29%,54360,269461
LEZ22,10/04/2022,148.15,148.525,147.4,147.5,-0.525,-0.35%,45444,270733
LEZ22,10/03/2022,147.475,148.7,147.475,148.025,0.975,+0.66%,60668,272548
LEZ22,09/30/2022,147.8,148.375,146.8,147.05,-0.725,-0.49%,60836,275704
LEZ22,09/29/2022,146.425,147.95,145.575,147.775,1.5,+1.03%,73054,278745
LEZ22,09/28/2022,147.325,147.475,146.075,146.275,-0.625,-0.43%,54458,281641
LEZ22,09/27/2022,147.85,148.05,146.4,146.9,-0.45,-0.31%,61409,285381
LEZ22,09/26/2022,148.6,149.6,146.575,147.35,-1.2,-0.81%,72749,287554
LEZ22,09/23/2022,149.15,149.175,148.15,148.55,-0.8,-0.54%,58123,292230
LEZ22,09/22/2022,150.65,150.75,149.1,149.35,-1.4,-0.93%,56416,298169
LEZ22,09/21/2022,150.85,151.625,150.425,150.75,-0.325,-0.22%,51123,299778
LEZ22,09/20/2022,150.925,152.225,150.9,151.075,0.175,+0.12%,71730,299712
LEZ22,09/19/2022,151.1,151.6,150.7,150.9,-0.075,-0.05%,49398,297456
LEZ22,09/16/2022,151.125,151.275,150.625,150.975,-0.35,-0.23%,43147,299129
LEZ22,09/15/2022,150.35,151.65,150.175,151.325,1.275,+0.85%,68918,298636
LEZ22,09/14/2022,150.6,150.725,149.875,150.05,-0.4,-0.27%,80858,295599
LEZ22,09/13/2022,151.05,151.3,150.1,150.45,-0.9,-0.59%,79892,298652
LEZ22,09/12/2022,151.2,151.6,150.95,151.35,5.675,+3.90%,78325,298796
LEV22,09/09/2022,144.4,145.875,144.25,145.675,1.3,+0.90%,88930,297914
LEV22,09/08/2022,144.325,144.7,143.775,144.375,0.125,+0.09%,68175,294343
LEV22,09/07/2022,145.1,145.5,144.15,144.25,-0.8,-0.55%,45250,298652
LEV22,09/06/2022,144.65,145.4,144.55,145.05,0.5,+0.35%,55403,296732
LEV22,09/02/2022,143.35,144.75,142.8,144.55,1.75,+1.23%,60372,295588
LEV22,09/01/2022,142.75,143.725,142.4,142.8,0.225,+0.16%,51021,292254
