Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
KCZ22,10/27/2022,181,183.6,178.1,178.85,-0.9,-0.50%,46451,0
KCZ22,10/26/2022,184.9,185.75,179.05,179.75,-6.05,-3.26%,59550,208601
KCZ22,10/25/2022,191.1,192.8,183.3,185.8,-4.6,-2.42%,62395,208280
KCZ22,10/24/2022,190.05,194.15,188.9,190.4,-0.5,-0.26%,40171,205869
KCZ22,10/21/2022,188.7,192.55,186.2,190.9,-0.15,-0.08%,38722,209292
KCZ22,10/20/2022,190.15,194.6,188.2,191.05,-1.25,-0.65%,40584,205735
KCZ22,10/19/2022,195.1,196.45,190.15,192.3,-2.8,-1.44%,35905,199158
KCZ22,10/18/2022,196.3,197.8,193.2,195.1,-0.45,-0.23%,35752,196729
KCZ22,10/17/2022,197.5,199.7,194.05,195.55,-1.15,-0.58%,44461,197432
KCZ22,10/14/2022,203,204.6,195.65,196.7,-5.45,-2.70%,62275,195577
KCZ22,10/13/2022,209.7,210.6,201.1,202.15,-7.6,-3.62%,65637,191128
KCZ22,10/12/2022,217.4,218.85,209.2,209.75,-8.1,-3.72%,54899,187967
KCZ22,10/11/2022,216.9,220.9,215.15,217.85,0.4,+0.18%,28226,188198
KCZ22,10/10/2022,217,219.35,215.35,217.45,-0.65,-0.30%,21505,188607
KCZ22,10/07/2022,217.95,221.05,213.8,218.1,0.4,+0.18%,40460,189129
KCZ22,10/06/2022,226.25,226.45,216.75,217.7,-6.95,-3.09%,44217,187390
KCZ22,10/05/2022,219.65,226.3,218.1,224.65,5.35,+2.44%,48697,185413
KCZ22,10/04/2022,216.55,222.45,216.3,219.3,3.55,+1.65%,34741,184698
KCZ22,10/03/2022,220.8,222.65,214.75,215.75,-5.8,-2.62%,38987,186255
KCZ22,09/30/2022,225.2,226.45,220.9,221.55,-4.15,-1.84%,31855,185762
KCZ22,09/29/2022,228.2,229.75,224.2,225.7,-3,-1.31%,27789,186329
KCZ22,09/28/2022,223.95,229.4,220.35,228.7,4.35,+1.94%,32294,185393
KCZ22,09/27/2022,225,229.05,222.9,224.35,0.55,+0.25%,26973,185149
KCZ22,09/26/2022,218.5,232.05,218.4,223.8,3.35,+1.52%,36020,186285
KCZ22,09/23/2022,222.4,223.4,217.25,220.45,-3.1,-1.39%,18977,189445
KCZ22,09/22/2022,220.75,224.4,218.1,223.55,2.25,+1.02%,16972,189701
KCZ22,09/21/2022,224.7,226.4,219.4,221.3,-3.85,-1.71%,20346,190388
KCZ22,09/20/2022,222.4,226.45,220.25,225.15,4.05,+1.83%,29487,191430
KCZ22,09/19/2022,214.5,222.1,210.85,221.1,6,+2.79%,25558,194110
KCZ22,09/16/2022,216.25,216.25,211.35,215.1,-1.3,-0.60%,21498,195796
KCZ22,09/15/2022,217.05,217.55,214.3,216.4,1.55,+0.72%,22197,196641
KCZ22,09/14/2022,221.45,222.4,214.05,214.85,-5.85,-2.65%,36310,198501
KCZ22,09/13/2022,224.8,226,217.15,220.7,-4.05,-1.80%,29738,197657
KCZ22,09/12/2022,229,230.05,224.1,224.75,-3.75,-1.64%,20165,197099
KCZ22,09/09/2022,224.75,230.2,224.1,228.5,6.3,+2.84%,24906,197040
KCZ22,09/08/2022,224.25,226.55,220.65,222.2,-1.05,-0.47%,34606,197300
KCZ22,09/07/2022,229.95,231,222.95,223.25,-7,-3.04%,31773,195364
KCZ22,09/06/2022,228.75,231.55,226.85,230.25,1.45,+0.63%,32404,193938
KCZ22,09/02/2022,232.5,234.05,228.25,228.8,-3.7,-1.59%,24228,193829
KCZ22,09/01/2022,234.6,236.4,231.7,232.5,-2.75,-1.17%,25602,194751
KCZ22,08/31/2022,236.4,237.6,233.7,235.25,0.05,+0.02%,25430,194134
KCZ22,08/30/2022,236.1,239.55,234.3,235.2,-1.4,-0.59%,26970,193889
KCZ22,08/29/2022,237.2,238.6,233.55,236.6,-1.5,-0.63%,19088,194008
KCZ22,08/26/2022,237.95,241.9,235.75,238.1,-1.4,-0.58%,25509,194108
KCZ22,08/25/2022,238.3,242.95,237.15,239.5,0.5,+0.21%,35418,193278
KCZ22,08/24/2022,228.1,240,228,239,10.75,+4.71%,49042,188954
KCZ22,08/23/2022,221.4,228.6,219.6,228.25,7.05,+3.19%,28229,184372
KCZ22,08/22/2022,212.4,223.15,210.8,221.2,7.85,+3.68%,48140,184115
KCZ22,08/19/2022,212.35,214.7,209.45,213.35,1.5,+0.71%,33783,183415
KCZ22,08/18/2022,214.8,217.75,211.4,211.85,-2.55,-1.19%,29551,186607
KCZ22,08/17/2022,216.4,219.05,212.75,214.4,-1.9,-0.88%,31660,190953
KCZ22,08/16/2022,221,221.55,215.65,216.3,-5.25,-2.37%,40088,190302
KCZ22,08/15/2022,221.6,222.15,217.4,221.55,-0.85,-0.38%,34567,195432
KCZ22,08/12/2022,219.2,223.4,217.15,222.4,2.85,+1.30%,37653,199963
KCZ22,08/11/2022,216.2,220,210.7,219.55,3.9,+1.81%,59085,203998
KCZ22,08/10/2022,208.9,216.5,208.55,215.65,6.65,+3.18%,61038,210067
KCZ22,08/09/2022,208.5,209.75,204.9,209,0.45,+0.22%,52452,209446
KCZ22,08/08/2022,207.15,212.3,204.5,208.55,2.15,+1.04%,58301,211275
KCZ22,08/05/2022,216.5,218.15,205.55,206.4,-9.35,-4.33%,85260,211384
KCZ22,08/04/2022,211.55,216.5,210.6,215.75,1.1,+0.51%,52199,210037
KCU22,08/03/2022,207.8,218.55,207.4,214.65,4.75,+2.26%,45985,208816
KCU22,08/02/2022,211.7,212.8,205.9,209.9,-3.3,-1.55%,41141,207740
KCU22,08/01/2022,217.55,222.2,210.4,213.2,-4,-1.84%,44434,205951
KCU22,07/29/2022,219.4,220.4,211.95,217.2,-1.2,-0.55%,41874,205896
KCU22,07/28/2022,219.3,221.4,214.25,218.4,-0.7,-0.32%,30722,204179
KCU22,07/27/2022,213.05,220.25,212.55,219.1,5.9,+2.77%,43728,203076
KCU22,07/26/2022,210.5,215.1,209.65,213.2,3.15,+1.50%,29417,199536
KCU22,07/25/2022,205.2,211.25,204.2,210.05,3.35,+1.62%,28341,198132
KCU22,07/22/2022,214.8,214.8,205.5,206.7,-9.15,-4.24%,40770,196056
KCU22,07/21/2022,217.3,218.25,214.3,215.85,-2.3,-1.05%,22704,196171
KCU22,07/20/2022,216,218.6,213.95,218.15,1.65,+0.76%,25443,195878
KCU22,07/19/2022,215,216.75,211.35,216.5,1.3,+0.60%,23496,196041
KCU22,07/18/2022,202,216.4,202,215.2,15.4,+7.71%,50983,197893
KCU22,07/15/2022,198,202.15,194.6,199.8,4.5,+2.30%,39400,200339
KCU22,07/14/2022,207.2,207.3,194.95,195.3,-12.05,-5.81%,58449,200442
KCU22,07/13/2022,207.3,209.85,205.25,207.35,2,+0.97%,32503,197051
KCU22,07/12/2022,212.8,214.5,204.75,205.35,-7.9,-3.70%,46651,195810
KCU22,07/11/2022,219.2,220,212.7,213.25,-7.2,-3.27%,28669,193979
KCU22,07/08/2022,218.8,221.75,215.1,220.45,1.55,+0.71%,28366,193568
KCU22,07/07/2022,219.2,223.7,218.35,218.9,-0.3,-0.14%,25650,194218
KCU22,07/06/2022,222.2,223.95,218.3,219.2,-1.85,-0.84%,23635,194374
KCU22,07/05/2022,224.5,225.9,220.15,221.05,-3.6,-1.60%,26327,193731
KCU22,07/01/2022,231.05,236.05,223.7,224.65,-5.45,-2.37%,30151,193279
