Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
GCZ22,10/27/2022,1668.8,1674.8,1658.5,1667,-2.2,-0.13%,194051,0
GCZ22,10/26/2022,1657.7,1679.4,1653.8,1669.2,11.2,+0.68%,208159,457729
GCZ22,10/25/2022,1654.5,1666.8,1641.2,1658,3.9,+0.24%,206141,456072
GCZ22,10/24/2022,1662.9,1675.5,1648,1654.1,-2.2,-0.13%,180624,444410
GCZ22,10/21/2022,1632.4,1663.1,1621.1,1656.3,19.5,+1.19%,282601,441151
GCZ22,10/20/2022,1634.6,1650.3,1626.3,1636.8,2.6,+0.16%,170904,444047
GCZ22,10/19/2022,1657.2,1659.8,1632.2,1634.2,-21.6,-1.30%,186956,443442
GCZ22,10/18/2022,1655.9,1666,1650.6,1655.8,-8.2,-0.49%,168398,434701
GCZ22,10/17/2022,1649.9,1674.3,1649.1,1664,15.1,+0.92%,153085,432976
GCZ22,10/14/2022,1672.8,1677.8,1645.6,1648.9,-28.1,-1.68%,196487,437368
GCZ22,10/13/2022,1680.2,1688.9,1648.3,1677,-0.5,-0.03%,252515,435997
GCZ22,10/12/2022,1673.4,1685.1,1668,1677.5,-8.5,-0.50%,143607,435773
GCZ22,10/11/2022,1675.6,1691.3,1667.5,1686,10.8,+0.64%,181850,431395
GCZ22,10/10/2022,1703.4,1707.4,1672.5,1675.2,-34.1,-1.99%,166496,435026
GCZ22,10/07/2022,1721,1722.8,1698.4,1709.3,-11.5,-0.67%,168097,433253
GCZ22,10/06/2022,1725.5,1734.2,1714.8,1720.8,0,0.00%,149323,433247
GCZ22,10/05/2022,1734.4,1736.6,1708.8,1720.8,-9.7,-0.56%,185989,433176
GCZ22,10/04/2022,1708.4,1738.7,1704,1730.5,28.5,+1.67%,215982,437065
GCZ22,10/03/2022,1670.5,1710.4,1666.5,1702,30,+1.79%,226801,437727
GCZ22,09/30/2022,1669.5,1684.4,1667.5,1672,3.4,+0.20%,184630,432024
GCZ22,09/29/2022,1669,1673.1,1649.3,1668.6,-1.4,-0.08%,217443,453488
GCZ22,09/28/2022,1636.5,1671.6,1622.2,1670,33.8,+2.07%,307682,456980
GCZ22,09/27/2022,1629.2,1650.1,1628.7,1636.2,2.8,+0.17%,218752,457061
GCZ22,09/26/2022,1651,1657.2,1627.7,1633.4,-22.2,-1.34%,239877,466335
GCZ22,09/23/2022,1680.1,1685,1646.6,1655.6,-25.5,-1.52%,268240,467631
GCZ22,09/22/2022,1682.8,1693.5,1663.3,1681.1,5.4,+0.32%,251651,465884
GCZ22,09/21/2022,1673.2,1696.9,1661.3,1675.7,4.6,+0.28%,244043,466167
GCZ22,09/20/2022,1684.9,1688.8,1668.1,1671.1,-7.1,-0.42%,156593,469395
GCZ22,09/19/2022,1685.4,1688.8,1667.6,1678.2,-5.3,-0.31%,149894,467551
GCZ22,09/16/2022,1673.7,1689.9,1661.9,1683.5,6.2,+0.37%,232490,465469
GCZ22,09/15/2022,1707.2,1707.8,1668.9,1677.3,-31.8,-1.86%,288236,471278
GCZ22,09/14/2022,1711.6,1717.3,1703.3,1709.1,-8.3,-0.48%,182353,464415
GCZ22,09/13/2022,1736,1742.9,1706.7,1717.4,-23.2,-1.33%,253548,463674
GCZ22,09/12/2022,1728.4,1746.4,1722.3,1740.6,12,+0.69%,163312,465639
GCZ22,09/09/2022,1719.6,1740.5,1719.4,1728.6,8.4,+0.49%,167306,464822
GCZ22,09/08/2022,1729.5,1739.4,1713.7,1720.2,-7.6,-0.44%,194107,464841
GCZ22,09/07/2022,1712.9,1731.2,1701.7,1727.8,14.9,+0.87%,187486,464269
GCZ22,09/06/2022,1724.2,1737.4,1710.6,1712.9,-9.7,-0.56%,219015,465908
GCZ22,09/02/2022,1707.8,1729.5,1705.9,1722.6,13.3,+0.78%,188145,463442
GCZ22,09/01/2022,1723,1723,1699.1,1709.3,-16.9,-0.98%,215387,464244
GCZ22,08/31/2022,1735.5,1738,1720.6,1726.2,-10.1,-0.58%,190092,459407
GCZ22,08/30/2022,1749.8,1752.8,1732.9,1736.3,-13.4,-0.77%,140958,459165
GCZ22,08/29/2022,1748.4,1757.9,1731.4,1749.7,-0.1,-0.01%,163340,457821
GCZ22,08/26/2022,1771.8,1772.3,1746.2,1749.8,-21.6,-1.22%,187676,457582
GCZ22,08/25/2022,1764.4,1778.8,1763,1771.4,9.9,+0.56%,124731,457023
GCZ22,08/24/2022,1761.3,1769.5,1754.8,1761.5,0.3,+0.02%,120501,459616
GCZ22,08/23/2022,1750,1767.5,1743.1,1761.2,12.8,+0.73%,153266,457762
GCZ22,08/22/2022,1760.6,1762.1,1740.2,1748.4,-14.5,-0.82%,153908,457457
GCZ22,08/19/2022,1773.1,1773.3,1759.1,1762.9,-8.3,-0.47%,148081,458131
GCZ22,08/18/2022,1777.1,1786.3,1768.8,1771.2,-5.5,-0.31%,130177,456855
GCZ22,08/17/2022,1790.8,1796.6,1773.9,1776.7,-13,-0.73%,144897,456339
GCZ22,08/16/2022,1795.5,1798,1785.4,1789.7,-8.4,-0.47%,100614,453960
GCZ22,08/15/2022,1818.9,1818.9,1787.6,1798.1,-17.4,-0.96%,145199,455656
GCZ22,08/12/2022,1805.2,1819.1,1799.6,1815.5,8.3,+0.46%,127304,458933
GCZ22,08/11/2022,1807.9,1814.9,1798.6,1807.2,-6.5,-0.36%,131831,457982
GCZ22,08/10/2022,1811.5,1824.6,1803.3,1813.7,1.4,+0.08%,172247,455997
GCZ22,08/09/2022,1805.5,1817,1799.4,1812.3,7.1,+0.39%,132391,453540
