Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
CBF23,10/27/2022,94.15,95.3,93.18,94.68,0.89,+0.95%,642096,0
CBF23,10/26/2022,91.12,94.3,90.39,93.79,2.05,+2.23%,808945,2031177
CBF23,10/25/2022,91.4,92.48,89.75,91.74,0.53,+0.58%,718675,2037014
CBF23,10/24/2022,91.23,92.3,89.01,91.21,-0.13,-0.14%,578732,2030298
CBF23,10/21/2022,90.48,91.72,89.17,91.34,0.89,+0.98%,661193,2034618
CBF23,10/20/2022,90.47,92.66,90.01,90.45,-0.11,-0.12%,912682,2042681
CBF23,10/19/2022,89.31,90.95,87.9,90.56,1.96,+2.21%,1069402,2060663
CBF23,10/18/2022,90.53,91.22,87.52,88.6,-3.02,-3.30%,1061546,2040316
CBZ22,10/17/2022,91.71,93.21,90.83,91.62,-0.01,-0.01%,687480,1996934
CBZ22,10/14/2022,94.53,95.11,91.28,91.63,-2.94,-3.11%,673237,1981422
CBZ22,10/13/2022,92.49,94.92,91.08,94.57,2.12,+2.29%,881011,1967240
CBZ22,10/12/2022,93.72,95.17,91.56,92.45,-1.84,-1.95%,823976,1947368
CBZ22,10/11/2022,95.93,96.46,93.11,94.29,-1.9,-1.98%,774998,1915751
CBZ22,10/10/2022,98.75,98.75,95.6,96.19,-1.73,-1.77%,613609,1910301
CBZ22,10/07/2022,94.71,98.58,93.94,97.92,3.5,+3.71%,829773,1917540
CBZ22,10/06/2022,93.71,94.98,92.72,94.42,1.05,+1.12%,628564,1897483
CBZ22,10/05/2022,91.89,93.96,90.76,93.37,1.57,+1.71%,939027,1885828
CBZ22,10/04/2022,88.81,92.4,88.78,91.8,2.94,+3.31%,860613,1854842
CBZ22,10/03/2022,86.35,89.82,86.35,88.86,3.72,+4.37%,764556,1839387
CBZ22,09/30/2022,87.55,88.64,85,85.14,-2.04,-2.34%,665321,1826190
CBZ22,09/29/2022,87.62,88.74,86.15,87.18,-0.87,-0.99%,709478,1859796
CBZ22,09/28/2022,84.83,88.22,82.94,88.05,3.18,+3.75%,806216,1856224
CBZ22,09/27/2022,82.84,85.84,82.81,84.87,2.01,+2.43%,731498,1840951
CBZ22,09/26/2022,85.54,86.45,82.44,82.86,-2.17,-2.55%,720467,1862069
CBZ22,09/23/2022,89.57,89.88,84.55,85.03,-4.5,-5.03%,942712,1870831
CBZ22,09/22/2022,88.83,91.74,88.28,89.53,0.73,+0.82%,708110,1868287
CBZ22,09/21/2022,89.57,92.23,88.31,88.8,-0.6,-0.67%,817487,1850562
CBZ22,09/20/2022,90.85,91.57,88.56,89.4,-1.26,-1.39%,738723,1831299
CBZ22,09/19/2022,90,91.17,87.2,90.66,0.61,+0.68%,477517,1828009
CBZ22,09/16/2022,89.32,91.28,89.02,90.05,0.44,+0.49%,724940,1830568
CBZ22,09/15/2022,93.68,93.68,89.07,89.61,-3.51,-3.77%,943712,1814346
CBZ22,09/14/2022,92.47,94.66,91.07,93.12,0.9,+0.98%,921824,1821953
CBZ22,09/13/2022,93.19,94.36,90.16,92.22,-0.71,-0.76%,974101,1794549
CBZ22,09/12/2022,91.36,93.94,90.15,92.93,1.22,+1.33%,680300,1770771
CBZ22,09/09/2022,87.74,91.98,87.64,91.71,3.46,+3.92%,675182,1788132
CBZ22,09/08/2022,86.98,88.93,86.4,88.25,0.25,+0.28%,702067,1787284
CBX22,09/07/2022,92.81,93.8,87.4,88,-4.83,-5.20%,1059425,1789542
CBX22,09/06/2022,95.19,95.94,92.3,92.83,-2.91,-3.04%,689577,1788108
CBX22,09/05/2022,93.02,96.99,93.02,95.74,2.72,+2.92%,457331,1802589
CBX22,09/02/2022,92.66,95.32,92.65,93.02,0.66,+0.71%,691529,1791836
CBX22,09/01/2022,95.18,95.68,91.81,92.36,-3.28,-3.43%,975141,1802736
CBX22,08/31/2022,98.33,99,94.4,95.64,-2.2,-2.25%,891940,1810542
CBX22,08/30/2022,102.88,103.48,96.63,97.84,-5.09,-4.95%,999908,1852619
CBX22,08/29/2022,98.96,103.22,98.25,102.93,3.92,+3.96%,576174,1853972
CBX22,08/26/2022,98.95,100.1,96.96,99.01,0.55,+0.56%,865693,1844615
CBX22,08/25/2022,100.79,101.53,98.23,98.46,-1.88,-1.87%,817547,1852940
CBX22,08/24/2022,99.3,100.89,98.27,100.34,1.17,+1.18%,952881,1864651
CBX22,08/23/2022,96,99.41,95.81,99.17,3.36,+3.51%,874214,1878113
CBX22,08/22/2022,95.36,96.66,92,95.81,-0.28,-0.29%,780853,1872905
