Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
ZSF23,10/27/2022,1392.75,1405,1389,1393.5,0.5,+0.04%,230756,0
ZSF23,10/26/2022,1391.75,1409,1388.75,1393,0.75,+0.05%,297404,619818
ZSF23,10/25/2022,1381.25,1396.5,1375.5,1392.25,11,+0.80%,248597,651685
ZSF23,10/24/2022,1402.75,1402.75,1377.75,1381.25,-23.25,-1.66%,265326,662566
ZSF23,10/21/2022,1398.75,1407.25,1383.75,1404.5,4.5,+0.32%,237006,674372
ZSF23,10/20/2022,1381.75,1405,1380,1400,27.5,+2.00%,250578,698665
ZSX22,10/19/2022,1371.75,1378.5,1357,1372.5,0.5,+0.04%,217002,714797
ZSX22,10/18/2022,1383,1390,1364.25,1372,-13.25,-0.96%,288522,714532
ZSX22,10/17/2022,1381.5,1395,1376.25,1385.25,1.5,+0.11%,233062,713126
ZSX22,10/14/2022,1394,1410,1382.75,1383.75,-12,-0.86%,238822,711153
ZSX22,10/13/2022,1394.5,1405,1378.75,1395.75,-0.25,-0.02%,303546,703233
ZSX22,10/12/2022,1373,1414,1367.5,1396,19.75,+1.44%,433469,702311
ZSX22,10/11/2022,1373.25,1385.25,1365.25,1376.25,2.25,+0.16%,233806,694960
ZSX22,10/10/2022,1367,1398.75,1366.5,1374,7,+0.51%,338341,695524
ZSX22,10/07/2022,1358,1373.5,1350.75,1367,9,+0.66%,281678,680857
ZSX22,10/06/2022,1369.5,1376.75,1350,1358,-11.75,-0.86%,220556,680521
ZSX22,10/05/2022,1382.75,1385.25,1362.5,1369.75,-13.75,-0.99%,206186,679569
ZSX22,10/04/2022,1373.75,1395,1371.75,1383.5,9.5,+0.69%,232823,677178
ZSX22,10/03/2022,1364,1376.5,1361.25,1374,9.25,+0.68%,235796,669838
ZSX22,09/30/2022,1410.5,1425.75,1363.25,1364.75,-46,-3.26%,338883,678100
ZSX22,09/29/2022,1408.75,1423.75,1403.25,1410.75,2,+0.14%,291473,673878
ZSX22,09/28/2022,1409,1412.5,1390.75,1408.75,0.75,+0.05%,276586,706149
ZSX22,09/27/2022,1411.25,1437.25,1407,1408,-3.25,-0.23%,238417,699311
ZSX22,09/26/2022,1424.5,1433.75,1408.25,1411.25,-14.5,-1.02%,210328,688056
ZSX22,09/23/2022,1455,1456,1420.5,1425.75,-31.25,-2.14%,195110,674606
ZSX22,09/22/2022,1456.5,1476,1448.75,1457,-4.25,-0.29%,194921,670245
ZSX22,09/21/2022,1476.5,1488.75,1459.5,1461.25,-17.5,-1.18%,173131,662733
ZSX22,09/20/2022,1461.75,1485.5,1450.75,1478.75,17.5,+1.20%,187280,656310
ZSX22,09/19/2022,1446,1465.75,1438.25,1461.25,12.75,+0.88%,147993,653097
ZSX22,09/16/2022,1449,1455,1433.75,1448.5,-3,-0.21%,141987,651606
ZSX22,09/15/2022,1456,1468.5,1444,1451.5,-3.5,-0.24%,171580,653186
ZSX22,09/14/2022,1475,1489.5,1453.5,1455,-23.75,-1.61%,200253,650817
ZSX22,09/13/2022,1486.5,1508.75,1475.75,1478.75,-9.5,-0.64%,250906,643018
ZSX22,09/12/2022,1409,1490.25,1402.25,1488.25,76,+5.38%,309892,632569
ZSX22,09/09/2022,1388.25,1415.75,1387.25,1412.25,26.25,+1.89%,117580,614509
ZSX22,09/08/2022,1384,1397.25,1373,1386,2.5,+0.18%,131970,612419
ZSX22,09/07/2022,1398.5,1432.25,1380.75,1383.5,-15.25,-1.09%,180457,612078
ZSX22,09/06/2022,1415,1423,1392.25,1398.75,-21.75,-1.53%,139434,606187
ZSX22,09/02/2022,1395,1422,1391.75,1420.5,25.75,+1.85%,95182,611445
ZSX22,09/01/2022,1420,1433,1390,1394.75,-27.75,-1.95%,130063,608407
ZSX22,08/31/2022,1432,1442.5,1416,1422.5,-10,-0.70%,109560,608283
ZSX22,08/30/2022,1437.75,1440,1408.25,1432.5,-5.25,-0.37%,121441,605924
ZSX22,08/29/2022,1458,1460.75,1432,1437.75,-23.5,-1.61%,151074,604853
ZSX22,08/26/2022,1430,1464.75,1426.5,1461.25,30,+2.10%,154977,605576
ZSX22,08/25/2022,1456.75,1467,1428.5,1431.25,-25.75,-1.77%,168649,610887
ZSX22,08/24/2022,1461.5,1484.5,1447.5,1457,-4,-0.27%,201061,612450
ZSX22,08/23/2022,1435.5,1474.75,1431.25,1461,25.75,+1.79%,215091,611218
ZSX22,08/22/2022,1398,1438.5,1393,1435.25,31.25,+2.23%,158208,603065
ZSX22,08/19/2022,1405.75,1410,1386.25,1404,-1.25,-0.09%,97198,595460
ZSX22,08/18/2022,1390,1413,1376.5,1405.25,15.25,+1.10%,126486,594252
ZSX22,08/17/2022,1382.5,1400,1379,1390,9,+0.65%,110008,593534
ZSX22,08/16/2022,1409,1413.75,1376,1381,-31.25,-2.21%,155545,595095
ZSX22,08/15/2022,1441.75,1443.75,1386,1412.25,-42,-2.89%,172689,594708
ZSX22,08/12/2022,1448,1464.75,1415.25,1454.25,5.75,+0.40%,192435,593320
ZSX22,08/11/2022,1425.5,1453.75,1418.25,1448.5,20.75,+1.45%,142196,589763
ZSX22,08/10/2022,1428.5,1454.75,1422,1427.75,-1,-0.07%,178546,586515
ZSX22,08/09/2022,1410,1438.5,1408.75,1428.75,28.75,+2.05%,161730,583208
ZSX22,08/08/2022,1398.5,1421,1391.25,1400,-8.75,-0.62%,115661,580820
ZSX22,08/05/2022,1416,1428.75,1392.75,1408.75,-9,-0.63%,154995,583428
ZSX22,08/04/2022,1368.75,1424,1359.5,1417.75,48,+3.50%,169076,583205
ZSX22,08/03/2022,1375.75,1406.25,1356,1369.75,-16.75,-1.21%,147239,576646
ZSX22,08/02/2022,1396.75,1408,1377.25,1386.5,-19.5,-1.39%,169285,572925
ZSX22,08/01/2022,1477.5,1481,1395.5,1406,-62.5,-4.26%,194168,575664
ZSX22,07/29/2022,1440.5,1489,1435.5,1468.5,28,+1.94%,224388,577911
ZSX22,07/28/2022,1413.25,1446.75,1412.5,1440.5,30.5,+2.16%,177738,576247
ZSX22,07/27/2022,1383,1416.5,1371.75,1410,26.25,+1.90%,213707,576075
ZSX22,07/26/2022,1359.75,1387.5,1358.25,1383.75,37.75,+2.80%,179160,583850
ZSX22,07/25/2022,1335,1349.25,1314.5,1346,30.25,+2.30%,159629,592690
ZSX22,07/22/2022,1303.5,1333,1288.5,1315.75,14.25,+1.09%,157926,592414
ZSX22,07/21/2022,1334,1341.75,1294.75,1301.5,-30.75,-2.31%,160126,607390
ZSX22,07/20/2022,1354,1356.25,1327.75,1332.25,-26,-1.91%,149334,603074
ZSX22,07/19/2022,1382.25,1383.5,1339,1358.25,-22,-1.59%,160985,602987
ZSX22,07/18/2022,1355.75,1393,1340.75,1380.25,38,+2.83%,144588,606180
ZSX22,07/15/2022,1348.75,1358.5,1330.5,1342.25,1.25,+0.09%,119013,607350
ZSX22,07/14/2022,1351.5,1365.5,1317.75,1341,-8.5,-0.63%,151405,608493
ZSX22,07/13/2022,1341,1362.25,1315.75,1349.5,6.5,+0.48%,144772,608964
ZSX22,07/12/2022,1405,1418,1339.25,1343,-62,-4.41%,170125,611751
ZSX22,07/11/2022,1420.75,1438.5,1400.75,1405,8.5,+0.61%,142172,617988
ZSX22,07/08/2022,1369,1398.75,1357.75,1396.5,31,+2.27%,140271,618501
ZSX22,07/07/2022,1326.5,1372.75,1325.25,1365.5,42.75,+3.23%,165857,621074
ZSX22,07/06/2022,1326.5,1340,1302.5,1322.75,6.75,+0.51%,196077,631429
ZSX22,07/05/2022,1373.75,1374.5,1304,1316,-79.25,-5.68%,226206,638675
ZSX22,07/01/2022,1462.25,1470.75,1391.25,1395.25,-62.75,-4.30%,211718,637598
ZSX22,06/30/2022,1478.25,1507.75,1451.5,1458,-20.25,-1.37%,217089,641256
ZSX22,06/29/2022,1461,1480.5,1449.75,1478.25,15.75,+1.08%,173768,641071
ZSX22,06/28/2022,1439.25,1468.75,1436,1462.5,29.75,+2.08%,226067,653337
ZSX22,06/27/2022,1406,1441.25,1400.5,1432.75,8.5,+0.60%,218154,666075
ZSX22,06/24/2022,1411.5,1433,1399.25,1424.25,8.75,+0.62%,243674,687544
ZSX22,06/23/2022,1477.75,1478.5,1409.25,1415.5,-61,-4.13%,354786,722026
ZSX22,06/22/2022,1514,1515.25,1470,1476.5,-34,-2.25%,278870,737056
ZSX22,06/21/2022,1529,1529.75,1506,1510.5,-27,-1.76%,229846,745494
ZSX22,06/17/2022,1547,1556.75,1536.5,1537.5,-5.75,-0.37%,187058,749520
ZSX22,06/16/2022,1527,1549.5,1520.5,1543.25,19.75,+1.30%,151508,748991
ZSX22,06/15/2022,1525,1535.5,1518,1523.5,-1.75,-0.11%,202403,748861
ZSX22,06/14/2022,1532,1544.25,1523.5,1525.25,-8.5,-0.55%,214418,754428
ZSX22,06/13/2022,1569,1574,1516.25,1533.75,-34.5,-2.20%,265801,757680
ZSX22,06/10/2022,1581.75,1584.25,1558.75,1568.25,-14,-0.88%,282650,766928
ZSX22,06/09/2022,1568,1584.75,1553,1582.25,14.25,+0.91%,357595,780303
ZSX22,06/08/2022,1549.25,1573,1546,1568,18.25,+1.18%,298125,771874
ZSX22,06/07/2022,1533.25,1554,1528.25,1549.75,-149.5,-8.80%,287026,760444
ZSN22,06/06/2022,1709,1717.75,1690,1699.25,1.5,+0.09%,158564,759394
ZSN22,06/03/2022,1728.75,1730.5,1694,1697.75,-31.5,-1.82%,156074,757070
ZSN22,06/02/2022,1690.25,1740.75,1681.25,1729.25,39,+2.31%,208009,759010
ZSN22,06/01/2022,1687.25,1706.5,1675.25,1690.25,7,+0.42%,202524,757441
ZSN22,05/31/2022,1737.75,1749.25,1673.75,1683.25,-49,-2.83%,250990,753373
ZSN22,05/27/2022,1725.75,1744.25,1718.75,1732.25,5.75,+0.33%,175777,756928
ZSN22,05/26/2022,1675.25,1737,1667.25,1726.5,45.5,+2.71%,263544,744800
ZSN22,05/25/2022,1694.25,1697.75,1665.5,1681,-12,-0.71%,164228,735375
ZSN22,05/24/2022,1687.75,1696.75,1673.5,1693,6,+0.36%,148089,729900
ZSN22,05/23/2022,1706,1720,1685,1687,-18.25,-1.07%,171431,727074
ZSN22,05/20/2022,1691,1710.75,1683.25,1705.25,14.75,+0.87%,168319,720397
ZSN22,05/19/2022,1663.75,1697,1660.75,1690.5,27.75,+1.67%,168601,721850
ZSN22,05/18/2022,1678,1686.75,1657,1662.75,-15.25,-0.91%,157165,714906
ZSN22,05/17/2022,1655,1684.25,1645.25,1678,21.5,+1.30%,127642,709144
ZSN22,05/16/2022,1657.5,1668,1650.25,1656.5,10,+0.61%,114218,703274
ZSN22,05/13/2022,1614.75,1651.5,1614,1646.5,32.75,+2.03%,152809,700122
ZSN22,05/12/2022,1607.5,1627.25,1590.25,1613.75,7,+0.44%,160491,695907
ZSN22,05/11/2022,1593.5,1615,1587.5,1606.75,14.5,+0.91%,144067,702180
ZSN22,05/10/2022,1589,1605,1580.5,1592.25,7,+0.44%,117224,694454
ZSN22,05/09/2022,1623.75,1626,1578,1585.25,-36.75,-2.27%,170849,695756
ZSN22,05/06/2022,1649.5,1650,1618,1622,-25,-1.52%,125236,700562
ZSN22,05/05/2022,1643,1667,1640,1647,6.5,+0.40%,130704,704163
ZSN22,05/04/2022,1633.5,1644.5,1622,1640.5,10,+0.61%,129232,702800
ZSN22,05/03/2022,1649.5,1662.75,1629,1630.5,-14.75,-0.90%,133769,700856
ZSN22,05/02/2022,1684.5,1688.75,1635,1645.25,-39.5,-2.34%,154391,699931
ZSN22,04/29/2022,1686,1704.75,1679.25,1684.75,0,0.00%,122579,695604
ZSN22,04/28/2022,1694.25,1700,1681.25,1684.75,-8,-0.47%,135354,698682
ZSN22,04/27/2022,1673.25,1698,1665.5,1692.75,21,+1.26%,223552,705916
ZSN22,04/26/2022,1676.75,1696.75,1661.75,1671.75,-3.5,-0.21%,211570,726717
ZSN22,04/25/2022,1687,1695.5,1656.5,1675.25,-12.75,-0.76%,242657,742655
ZSN22,04/22/2022,1719,1734,1676,1688,-31.5,-1.83%,273422,748824
ZSN22,04/21/2022,1717,1726.25,1704.75,1719.5,2.5,+0.15%,237761,766901
ZSN22,04/20/2022,1693.5,1721.75,1688.25,1717,25.25,+1.49%,236989,771468
ZSN22,04/19/2022,1691.75,1705.75,1682,1691.75,-1.5,-0.09%,190947,762855
ZSN22,04/18/2022,1672.5,1700,1669,1693.25,28,+1.68%,191282,754848
ZSN22,04/14/2022,1665,1679.5,1656,1665.25,0.25,+0.02%,213201,747363
ZSN22,04/13/2022,1661.5,1668,1643.5,1665,4.5,+0.27%,262248,749138
ZSN22,04/12/2022,1644.75,1669,1642.5,1660.5,19.75,+1.20%,245560,752157
ZSN22,04/11/2022,1670.25,1676.5,1635.5,1640.75,-27.25,-1.63%,245962,760549
ZSN22,04/08/2022,1627.75,1668.75,1625.75,1668,22.5,+1.37%,257506,758841
ZSK22,04/07/2022,1620,1652.75,1614.75,1645.5,26,+1.61%,248003,758217
ZSK22,04/06/2022,1630,1643,1615,1619.5,-11.5,-0.71%,159349,755894
ZSK22,04/05/2022,1605,1635.25,1604.25,1631,28.75,+1.79%,144692,756785
ZSK22,04/04/2022,1584,1606,1576.75,1602.25,19.5,+1.23%,159145,755511
ZSK22,04/01/2022,1620.75,1628.5,1580.75,1582.75,-35.5,-2.19%,228547,756442
ZSK22,03/31/2022,1666.75,1680,1613.5,1618.25,-45.75,-2.75%,231511,761427
ZSK22,03/30/2022,1644,1683.75,1638.75,1664,21,+1.28%,135311,750375
ZSK22,03/29/2022,1662.5,1673,1622,1643,-21.25,-1.28%,198615,755139
ZSK22,03/28/2022,1703,1710,1661,1664.25,-46,-2.69%,151100,758357
ZSK22,03/25/2022,1702,1714.25,1684.75,1710.25,9.5,+0.56%,120522,760920
ZSK22,03/24/2022,1722.25,1730,1697.5,1700.75,-18,-1.05%,147712,761438
ZSK22,03/23/2022,1695.5,1736.5,1691,1718.75,22.25,+1.31%,144307,760179
ZSK22,03/22/2022,1692.75,1720.75,1686,1696.5,5.5,+0.33%,151658,754382
ZSK22,03/21/2022,1673,1710,1666.75,1691,23,+1.38%,146574,752062
