Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
ZWZ22,10/27/2022,843.5,858,833.5,838.5,-2,-0.24%,68920,0
ZWZ22,10/26/2022,836.25,846.5,824,840.5,5.75,+0.69%,69324,324517
ZWZ22,10/25/2022,840,844.75,826.75,834.75,-4,-0.48%,80644,324137
ZWZ22,10/24/2022,853.75,856.5,833.5,838.75,-12,-1.41%,63618,316858
ZWZ22,10/21/2022,850.25,863,833,850.75,1.5,+0.18%,66219,313454
ZWZ22,10/20/2022,844.5,855.75,836.75,849.25,8,+0.95%,75050,313929
ZWZ22,10/19/2022,847,862.75,835.5,841.25,-8.25,-0.97%,68042,309477
ZWZ22,10/18/2022,862,866,832.75,849.5,-11.5,-1.34%,79531,309429
ZWZ22,10/17/2022,860,877.75,855.25,861,1.25,+0.15%,74408,307137
ZWZ22,10/14/2022,894.25,898.75,857.25,859.75,-32.5,-3.64%,77508,310211
ZWZ22,10/13/2022,883.75,906.25,863,892.25,10,+1.13%,98506,309813
ZWZ22,10/12/2022,902,903.75,876.25,882.25,-18.75,-2.08%,81689,308515
ZWZ22,10/11/2022,934,936.75,898,901,-37,-3.94%,110866,307901
ZWZ22,10/10/2022,895.25,949.75,891.5,938,57.75,+6.56%,135141,303009
ZWZ22,10/07/2022,883.25,896.75,872.5,880.25,1.25,+0.14%,68112,298218
ZWZ22,10/06/2022,905.75,907.75,873.25,879,-23,-2.55%,79038,294791
ZWZ22,10/05/2022,903.25,919.75,894.25,902,-1,-0.11%,66536,291740
ZWZ22,10/04/2022,916.25,927,897.5,903,-9,-0.99%,87344,291614
ZWZ22,10/03/2022,930,938.75,908.5,912,-9.5,-1.03%,90858,295082
ZWZ22,09/30/2022,899.75,945.75,892.75,921.5,25.25,+2.82%,126770,295483
ZWZ22,09/29/2022,902.5,914.5,887.75,896.25,-7,-0.77%,64981,293290
ZWZ22,09/28/2022,874.25,905,862,903.25,31.75,+3.64%,76636,295898
ZWZ22,09/27/2022,857.5,894.5,857,871.5,13.5,+1.57%,74800,290771
ZWZ22,09/26/2022,877,890.75,854.25,858,-22.5,-2.56%,67892,287955
ZWZ22,09/23/2022,908.75,913,876,880.5,-30.25,-3.32%,84239,290600
ZWZ22,09/22/2022,896.5,922.5,891,910.75,7,+0.77%,102157,294361
ZWZ22,09/21/2022,886.5,919.5,873,903.75,10,+1.12%,154979,288320
ZWZ22,09/20/2022,827.75,896.75,825.5,893.75,63.25,+7.62%,113372,285567
ZWZ22,09/19/2022,857.25,861.25,819.25,830.5,-29.25,-3.40%,67384,285024
ZWZ22,09/16/2022,846.75,866.5,830.75,859.75,14.75,+1.75%,72183,284443
ZWZ22,09/15/2022,874,884.75,843.25,845,-27.25,-3.12%,82206,286449
ZWZ22,09/14/2022,862.5,874.75,849.25,872.25,11.75,+1.37%,71681,286051
ZWZ22,09/13/2022,858,876.25,850.5,860.5,1.75,+0.20%,88693,287046
ZWZ22,09/12/2022,864.75,878,848.5,858.75,-10.75,-1.24%,93983,287688
ZWZ22,09/09/2022,829,872.5,826,869.5,40.5,+4.89%,90863,291972
ZWZ22,09/08/2022,837,857.25,818,829,-15.25,-1.81%,82831,289972
ZWZ22,09/07/2022,816.75,873.5,809.25,844.25,27.25,+3.34%,137883,291130
ZWZ22,09/06/2022,814.75,825,801.25,817,6,+0.74%,54811,289329
ZWZ22,09/02/2022,797.75,819.5,796.25,811,16.75,+2.11%,51840,289607
ZWZ22,09/01/2022,828.25,835,791.25,794.25,-37.25,-4.48%,82731,290037
ZWZ22,08/31/2022,820,839.25,806.25,831.5,11.25,+1.37%,78224,290785
ZWZ22,08/30/2022,840.25,846.25,816.5,820.25,-22.5,-2.67%,94514,288545
ZWZ22,08/29/2022,806,849,794.25,842.75,37.5,+4.66%,116993,291337
ZWZ22,08/26/2022,784,812.5,783.25,805.25,16.25,+2.06%,107199,300206
ZWZ22,08/25/2022,813.25,821.5,785.75,789,-24.25,-2.98%,85263,311388
ZWZ22,08/24/2022,800.5,817.75,792.25,813.25,12.75,+1.59%,93041,317873
ZWZ22,08/23/2022,787.5,819.75,785,800.5,12.25,+1.55%,110103,320495
ZWZ22,08/22/2022,771.25,791.75,762.5,788.25,17.25,+2.24%,87216,322184
ZWZ22,08/19/2022,751,773.75,745.25,771,22,+2.94%,76478,323647
ZWZ22,08/18/2022,781.75,783.5,743.25,749,-31.5,-4.04%,127917,323372
ZWZ22,08/17/2022,802.75,813.75,777,780.5,-22.25,-2.77%,88589,318467
ZWZ22,08/16/2022,815,827.25,798.75,802.75,-15,-1.83%,64906,313237
ZWZ22,08/15/2022,819.25,821,795.25,817.75,-4.75,-0.58%,72691,314455
ZWZ22,08/12/2022,825,825,798,822.5,-3.75,-0.45%,102433,318728
ZWZ22,08/11/2022,816.25,836,810.75,826.25,10,+1.23%,141591,321724
ZWZ22,08/10/2022,799.25,824.25,798.75,816.25,17,+2.13%,149756,320184
ZWZ22,08/09/2022,806.25,821.25,792.25,799.25,0,0.00%,134396,320767
ZWZ22,08/08/2022,796.25,812.25,780.5,799.25,23.5,+3.03%,140003,317766
ZWU22,08/05/2022,782,796.75,769.75,775.75,-6.75,-0.86%,116953,316152
ZWU22,08/04/2022,768,789.5,758.25,782.5,18.75,+2.45%,98520,318243
ZWU22,08/03/2022,774,790.25,752,763.75,-11,-1.42%,112699,316141
ZWU22,08/02/2022,795,795.75,772.75,774.75,-25.5,-3.19%,98061,316244
ZWU22,08/01/2022,812.75,820.25,781.25,800.25,-7.5,-0.93%,76620,312511
